Dates,AUD,EUR,GBP,JPY,BRL,ZAR,MXP,CAD,AED,CNY,Flows
31-May-18,1.327973,0.845653,0.742756,109.664452,1.287227,12.522312,12.522312,1.287227,1.287227,6.374674,AUD
30-Jun-18,1.334226,0.856183,0.752177,110.0477,1.312379,13.294842,13.294842,1.312379,1.312379,6.466713,EUR
31-Jul-18,1.350496,0.855282,0.759306,111.431677,1.313303,13.389214,13.389214,1.313303,1.313303,6.721739,GBP
31-Aug-18,1.364735,0.866686,0.777285,111.006984,1.304956,14.095344,14.095344,1.304956,1.304956,6.851623,JPY
30-Sep-18,1.388886,0.857968,0.766762,112.0468,1.303321,14.727902,14.727902,1.303321,1.303321,6.860237,BRL
31-Oct-18,1.407698,0.870075,0.768064,112.710935,1.302096,14.529854,14.529854,1.302096,1.302096,6.919797,ZAR
30-Nov-18,1.379949,0.879906,0.775185,113.2999,1.319734,14.102746,14.102746,1.319734,1.319734,6.937675,MXP
31-Dec-18,1.396893,0.879002,0.788754,112.116258,1.345234,14.279495,14.279495,1.345234,1.345234,6.892342,CAD
31-Jan-19,1.398086,0.875631,0.775477,109.018129,1.330202,13.837076,13.837076,1.330202,1.330202,6.791742,AED
28-Feb-19,1.400169,0.880959,0.768832,110.34263,1.320638,13.809594,13.809594,1.320638,1.320638,6.741967,CNY
31-Mar-19,1.412695,0.885152,0.759735,111.126081,1.337235,14.399924,14.399924,1.337235,1.337235,6.713879,
30-Apr-19,1.405847,0.890132,0.767821,111.691293,1.338409,14.143952,14.143952,1.338409,1.338409,6.716045,
31-May-19,1.439668,0.893524,0.777814,110.000065,1.345505,14.401992,14.401992,1.345505,1.345505,6.852565,
30-Jun-19,1.439347,0.884948,0.788865,108.072883,1.330281,14.577262,14.577262,1.330281,1.330281,6.897927,
31-Jul-19,1.432225,0.891499,0.80178,108.249371,1.310256,14.055142,14.055142,1.310256,1.310256,6.879839,
31-Aug-19,1.476194,0.897508,0.822511,106.144767,1.327759,15.158425,15.158425,1.327759,1.327759,7.0606,
30-Sep-19,1.468828,0.907199,0.809424,107.46805,1.324762,14.868408,14.868408,1.324762,1.324762,7.11505,
31-Oct-19,1.470617,0.903815,0.789734,108.144839,1.318787,14.883262,14.883262,1.318787,1.318787,7.095968,
30-Nov-19,1.464694,0.904806,0.776478,108.868117,1.323737,14.800316,14.800316,1.323737,1.323737,7.02135,
31-Dec-19,1.45204,0.900067,0.763323,109.146793,1.317169,14.395644,14.395644,1.317169,1.317169,7.011116,
31-Jan-20,1.456465,0.901049,0.764843,109.352613,1.307925,14.398037,14.398037,1.307925,1.307925,6.9244,
29-Feb-20,1.500632,0.916057,0.771086,109.975071,1.328071,15.017937,15.017937,1.328071,1.328071,6.995876,
31-Mar-20,1.61132,0.904858,0.809713,107.559554,1.393565,16.702193,16.702193,1.393565,1.393565,7.026826,
30-Apr-20,1.585527,0.920221,0.805067,107.735981,1.405301,18.608907,18.608907,1.405301,1.405301,7.070366,
31-May-20,1.533395,0.914601,0.812361,107.245397,1.398399,18.139612,18.139612,1.398399,1.398399,7.10361,
30-Jun-20,1.450562,0.888586,0.799388,107.6248,1.355756,17.130328,17.130328,1.355756,1.355756,7.08203,
31-Jul-20,1.423854,0.873021,0.789464,106.764903,1.350647,16.767036,16.767036,1.350647,1.350647,7.010515,
31-Aug-20,1.388705,0.845299,0.761266,105.990048,1.324277,17.222692,17.222692,1.324277,1.324277,6.93039,
30-Sep-20,1.3842,0.848377,0.772376,105.620233,1.321976,16.723858,16.723858,1.321976,1.321976,6.81411,
31-Oct-20,1.4022,0.849583,0.770195,105.209323,1.320232,16.431951,16.431951,1.320232,1.320232,6.723684,
30-Nov-20,1.374333,0.844585,0.75717,104.327217,1.306551,15.533732,15.533732,1.306551,1.306551,6.602673,
31-Dec-20,1.326635,0.821311,0.744745,103.774129,1.281255,14.871162,14.871162,1.281255,1.281255,6.540134,
31-Jan-21,1.296146,0.822154,0.733131,103.795532,1.272969,15.112238,15.112238,1.272969,1.272969,6.474835,
28-Feb-21,1.289869,0.826854,0.720941,105.447839,1.269604,14.776535,14.776535,1.269604,1.269604,6.46557,
31-Mar-21,1.297295,0.840161,0.721552,108.786629,1.256901,14.975669,14.975669,1.256901,1.256901,6.512258,
29-Apr-21,1.299226,0.835945,0.723112,109.041661,1.251531,14.412804,14.412804,1.251531,1.251531,6.523757,